iter	Logloss
0	0.424256871
1	0.2624637568
2	0.1679967452
3	0.1116016684
4	0.07808882546
5	0.05699436261
6	0.0437924777
7	0.03538141587
8	0.02974682465
9	0.02598107325
10	0.02337216419
11	0.02155103277
12	0.01998475802
13	0.01888937526
14	0.01800875606
15	0.01738445019
16	0.01693760811
17	0.01657575932
18	0.01632102824
19	0.01604996153
20	0.01588357783
21	0.01573434003
22	0.01553940486
23	0.01544297791
24	0.01536618617
25	0.0152766886
26	0.01521624848
27	0.01501072913
28	0.01494920009
29	0.01488958096
30	0.01484682389
31	0.01473038551
32	0.01467037509
33	0.01460433133
34	0.01456170881
35	0.0145218909
36	0.01449044405
37	0.01441513568
38	0.01434286954
39	0.01429938157
40	0.0142316674
41	0.0142050022
42	0.01415979473
43	0.01408125773
44	0.01400685127
45	0.01395711903
46	0.01393349949
47	0.01390200277
48	0.01388075907
49	0.01385694814
50	0.01376926953
51	0.01372049665
52	0.01368671217
53	0.01364903869
54	0.01359485551
55	0.013561925
56	0.01351937021
57	0.01348014101
58	0.01344574625
59	0.01342373741
60	0.01338026087
61	0.01334692948
62	0.01327459504
63	0.01323671679
64	0.01321119177
65	0.01319872818
66	0.01317523283
67	0.0131605062
68	0.01314872423
69	0.01310906989
70	0.01306116618
71	0.01303635326
72	0.0130075026
73	0.0129904797
74	0.01296311648
75	0.01292733778
76	0.01288544229
77	0.01283514109
78	0.01279454083
79	0.01277510361
80	0.01274972453
81	0.01271958407
82	0.01270126742
83	0.01268186628
84	0.0126387994
85	0.01262158527
86	0.01259596174
87	0.01258066581
88	0.01255045318
89	0.01252373843
90	0.01250879883
91	0.01249632554
92	0.01247226578
93	0.01244951526
94	0.01241311163
95	0.0123966751
96	0.01237515158
97	0.01235702232
98	0.01233805801
99	0.01232054581
100	0.012306314
101	0.01226638532
102	0.01224510489
103	0.01223395803
104	0.01221915378
105	0.01219168153
106	0.01216288404
107	0.01215117947
108	0.01213611753
109	0.01210381124
110	0.01208266674
111	0.01207355377
112	0.01205797325
113	0.0120467166
114	0.01203006174
115	0.01202058766
116	0.01200341006
117	0.01198554269
118	0.01194730156
119	0.01193443079
120	0.01190699081
121	0.01189825157
122	0.01187455411
123	0.01186121554
124	0.01184941438
125	0.01183360657
126	0.01181326817
127	0.01179945441
128	0.01178179473
129	0.01175486215
130	0.01174295886
131	0.01173279653
132	0.01171282182
133	0.01169310769
134	0.0116825545
135	0.01166771837
136	0.01163939434
137	0.01162685732
138	0.01159993782
139	0.01158057452
140	0.01154617155
141	0.01153189289
142	0.01150795891
143	0.011489747
144	0.011461359
145	0.01143461653
146	0.01141858828
147	0.01139922639
148	0.01138643778
149	0.01136323368
150	0.01133919625
151	0.01131349333
152	0.01128903626
153	0.0112703223
154	0.01124077388
155	0.01121889142
156	0.0111999137
157	0.01118095249
158	0.01117185308
159	0.01115383426
160	0.01114005076
161	0.0111148588
162	0.01109447071
163	0.01107118182
164	0.01105911749
165	0.01103168816
166	0.01101729919
167	0.01100399195
168	0.01098939621
169	0.01097167497
170	0.01094973625
171	0.01092347211
172	0.01090810443
173	0.01089160767
174	0.01086441107
175	0.01084837012
176	0.01082030442
177	0.01079405545
178	0.01078109999
179	0.0107696436
180	0.01076097661
181	0.01073266917
182	0.01071237902
183	0.01068390967
184	0.01067395062
185	0.01065410588
186	0.01063000294
187	0.01060888973
188	0.01057371777
189	0.01055331727
190	0.01053718077
191	0.01052597422
192	0.0105125315
193	0.01049744594
194	0.01047825526
195	0.01045945543
196	0.01044418871
197	0.01042752846
198	0.01041776789
199	0.01039805906
200	0.01038304211
201	0.01035408482
202	0.01033992396
203	0.01031313111
204	0.01029106473
205	0.01027778801
206	0.01025727404
207	0.010241161
208	0.01022028359
209	0.01019495595
210	0.01018042179
211	0.01017184252
212	0.01014923814
213	0.01014000768
214	0.01012725036
215	0.01011395596
216	0.01009322807
217	0.0100717197
218	0.01005488304
219	0.01004361489
220	0.01003352422
221	0.01001919788
222	0.009999779533
223	0.009979615921
224	0.009964818903
225	0.009950887773
226	0.009942895942
227	0.009930699191
228	0.009918368929
229	0.009902672164
230	0.009887896404
231	0.00986790283
232	0.009852899642
